# Pass-through; 1 unless some portion is assumed lost/spoiled in shipping
region,supplysector,subsector,technology,year,minicam.energy.input,coefficient,market.name
Indonesia,regional corn,domestic corn,domestic corn,2005,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2005,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2005,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2005,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2005,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2005,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2005,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2005,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2005,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2005,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2005,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2005,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2005,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2005,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2005,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2010,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2010,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2010,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2010,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2010,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2010,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2010,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2010,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2010,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2010,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2010,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2010,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2010,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2010,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2010,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2010,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2010,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2010,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2010,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2010,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2010,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2010,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2010,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2010,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2010,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2010,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2010,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2010,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2010,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2010,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2010,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2010,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2015,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2015,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2015,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2015,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2015,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2015,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2015,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2015,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2015,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2015,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2015,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2015,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2015,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2015,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2015,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2015,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2015,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2015,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2015,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2015,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2015,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2015,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2015,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2015,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2015,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2015,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2015,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2015,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2015,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2015,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2015,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2015,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2020,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2020,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2020,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2020,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2020,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2020,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2020,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2020,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2020,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2020,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2020,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2020,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2020,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2020,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2020,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2020,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2020,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2020,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2020,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2020,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2020,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2020,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2020,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2020,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2020,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2020,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2020,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2020,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2020,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2020,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2020,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2020,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2025,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2025,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2025,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2025,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2025,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2025,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2025,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2025,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2025,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2025,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2025,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2025,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2025,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2025,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2025,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2025,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2025,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2025,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2025,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2025,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2025,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2025,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2025,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2025,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2025,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2025,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2025,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2025,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2025,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2025,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2025,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2025,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2030,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2030,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2030,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2030,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2030,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2030,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2030,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2030,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2030,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2030,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2030,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2030,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2030,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2030,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2030,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2030,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2030,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2030,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2030,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2030,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2030,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2030,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2030,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2030,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2030,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2030,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2030,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2030,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2030,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2030,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2030,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2030,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2035,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2035,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2035,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2035,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2035,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2035,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2035,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2035,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2035,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2035,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2035,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2035,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2035,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2035,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2035,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2035,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2035,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2035,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2035,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2035,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2035,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2035,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2035,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2035,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2035,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2035,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2035,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2035,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2035,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2035,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2035,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2035,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2040,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2040,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2040,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2040,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2040,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2040,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2040,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2040,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2040,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2040,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2040,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2040,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2040,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2040,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2040,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2040,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2040,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2040,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2040,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2040,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2040,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2040,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2040,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2040,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2040,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2040,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2040,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2040,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2040,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2040,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2040,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2040,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2045,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2045,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2045,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2045,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2045,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2045,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2045,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2045,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2045,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2045,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2045,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2045,Corn,1,EU-12
EU-15,regional corn,domestic corn,domestic corn,2045,Corn,1,EU-15
Europe_Eastern,regional corn,domestic corn,domestic corn,2045,Corn,1,Europe_Eastern
Europe_Non_EU,regional corn,domestic corn,domestic corn,2045,Corn,1,Europe_Non_EU
European Free Trade Association,regional corn,domestic corn,domestic corn,2045,Corn,1,European Free Trade Association
India,regional corn,domestic corn,domestic corn,2045,Corn,1,India
Indonesia,regional corn,domestic corn,domestic corn,2045,Corn,1,Indonesia
Japan,regional corn,domestic corn,domestic corn,2045,Corn,1,Japan
Mexico,regional corn,domestic corn,domestic corn,2045,Corn,1,Mexico
Middle East,regional corn,domestic corn,domestic corn,2045,Corn,1,Middle East
Pakistan,regional corn,domestic corn,domestic corn,2045,Corn,1,Pakistan
Russia,regional corn,domestic corn,domestic corn,2045,Corn,1,Russia
South Africa,regional corn,domestic corn,domestic corn,2045,Corn,1,South Africa
South America_Northern,regional corn,domestic corn,domestic corn,2045,Corn,1,South America_Northern
South America_Southern,regional corn,domestic corn,domestic corn,2045,Corn,1,South America_Southern
South Asia,regional corn,domestic corn,domestic corn,2045,Corn,1,South Asia
South Korea,regional corn,domestic corn,domestic corn,2045,Corn,1,South Korea
Southeast Asia,regional corn,domestic corn,domestic corn,2045,Corn,1,Southeast Asia
Taiwan,regional corn,domestic corn,domestic corn,2045,Corn,1,Taiwan
Argentina,regional corn,domestic corn,domestic corn,2045,Corn,1,Argentina
Colombia,regional corn,domestic corn,domestic corn,2045,Corn,1,Colombia
USA,regional corn,domestic corn,domestic corn,2050,Corn,1,USA
Africa_Eastern,regional corn,domestic corn,domestic corn,2050,Corn,1,Africa_Eastern
Africa_Northern,regional corn,domestic corn,domestic corn,2050,Corn,1,Africa_Northern
Africa_Southern,regional corn,domestic corn,domestic corn,2050,Corn,1,Africa_Southern
Africa_Western,regional corn,domestic corn,domestic corn,2050,Corn,1,Africa_Western
Australia_NZ,regional corn,domestic corn,domestic corn,2050,Corn,1,Australia_NZ
Brazil,regional corn,domestic corn,domestic corn,2050,Corn,1,Brazil
Canada,regional corn,domestic corn,domestic corn,2050,Corn,1,Canada
Central America and Caribbean,regional corn,domestic corn,domestic corn,2050,Corn,1,Central America and Caribbean
Central Asia,regional corn,domestic corn,domestic corn,2050,Corn,1,Central Asia
China,regional corn,domestic corn,domestic corn,2050,Corn,1,China
EU-12,regional corn,domestic corn,domestic corn,2050,Corn,1,EU-12
